161,459,triton,al125848,32401/38821,II,---,07/01/2022,08/01/2022,1,23,13.12,5,1.00,0.45,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,1,0.45333333333333337
151,466,tritonctl,al125848,32401/38821,II,---,10/01/2022,11/01/2022,1,23,13.11,5,1.00,0.45,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,1,0.45375000000000004
45,597,gan100,p212833,37299/00065,II,---,25/01/2022,25/01/2022,0,1,0.49,23,0.81,0.00,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_GAN_POWER,0,0
44,598,gan100,p212833,37299/00065,II,---,25/01/2022,25/01/2022,0,1,0.44,46,0.96,0.00,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_GAN_POWER,0,0
50,592,gan1200a,p213236,37299/37284,II,---,24/01/2022,24/01/2022,0,3,1.13,25,0.50,0.00,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_GAN_POWER,0,0
49,593,gan1200a,p213236,37299/37284,II,---,24/01/2022,24/01/2022,0,2,1.00,46,0.83,0.00,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_GAN_POWER,0,0
47,595,gan1200a,p213236,37299/37284,II,---,25/01/2022,25/01/2022,0,1,0.58,25,0.76,0.00,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_GAN_POWER,0,0
46,596,gan1200a,p213236,37299/37284,II,---,25/01/2022,25/01/2022,0,1,0.55,46,0.92,0.00,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_GAN_POWER,0,0
164,458,ev2,al111584,37999/01556,II,---,07/01/2022,07/01/2022,0,4,1.14,13,1.31,0.00,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_COMPUTE_BILA,0,0
64,564,ev2prb60,al111584,37999/01556,II,---,21/01/2022,22/01/2022,1,22,30.32,15,1.38,0.00,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_COMPUTE_BILA,1,0
57,565,ev2prb60,al111584,37999/01556,II,---,21/01/2022,24/01/2022,3,22,29.72,15,1.35,1.76,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_COMPUTE_BILA,2,0.7616666666666667
56,563,ev2prb60,al111584,37999/01556,II,---,21/01/2022,24/01/2022,3,22,1.99,10,2.50,2.92,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_COMPUTE_BILA,0,0
55,567,ev2prb60,al111584,37999/01556,II,---,21/01/2022,24/01/2022,3,22,3.46,10,4.50,2.86,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_COMPUTE_BILA,0,0
